,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
causal,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,16,28,26,43,52,101,127,333,358,243,285,400,460,728,1145,1919,2415,3091,4391,5477,7117,28763
identification,0,0,0,0,0,9,0,0,0,10,21,5,13,0,15,27,28,50,77,99,179,230,293,455,422,528,764,1018,1530,1773,2650,2769,2783,3488,4410,5111,28757
variety,0,0,0,0,9,9,8,5,10,14,18,26,32,34,20,28,47,63,72,130,173,232,353,445,513,690,874,1208,1670,2222,2985,3200,3358,3682,3792,2810,28732
exploration,0,0,0,0,0,0,0,0,0,0,10,14,0,8,11,6,11,42,43,55,65,107,164,194,208,319,444,658,1145,1556,2172,2360,2579,3917,5327,7267,28682
compute,0,0,0,0,0,0,7,0,14,22,23,20,27,31,30,28,83,109,120,199,308,407,499,599,690,819,994,1152,1478,2004,2475,2702,2644,2947,3541,4702,28674
levels,0,0,0,0,0,8,0,0,7,21,5,25,18,13,33,14,38,75,63,105,157,197,309,420,433,494,688,872,1244,1602,2274,2525,2663,3517,4864,5982,28666
review,0,0,0,0,0,7,8,7,0,0,0,24,17,16,18,23,42,25,55,92,129,150,253,343,353,413,611,742,1058,1555,2391,2746,2932,3825,4969,5778,28582
questions,0,0,0,0,7,0,0,0,6,8,15,14,27,26,18,29,29,43,47,91,96,167,206,349,360,431,595,832,1207,1591,2137,2301,2355,3813,5567,6208,28575
mapping,0,0,0,0,0,9,10,0,10,0,10,17,20,11,17,36,35,57,77,83,147,158,237,308,355,521,646,1035,1484,1933,2467,2770,2864,3453,4370,5417,28557
polynomial,0,0,0,0,0,0,0,19,29,76,46,50,61,84,63,118,178,239,369,521,634,730,879,1070,1111,1218,1204,1402,1601,1943,2344,2231,2218,2672,2649,2789,28548
policies,0,0,0,0,0,0,0,0,25,0,13,19,14,22,9,18,40,48,58,97,159,223,336,405,322,463,585,848,1317,1870,2553,2588,2930,3376,4269,5899,28506
structured,0,0,0,0,0,0,0,11,0,7,14,18,15,0,22,20,23,29,60,87,143,192,331,302,367,589,670,758,1124,1416,1829,1788,1858,2394,3796,10641,28504
initial,0,0,0,0,8,8,0,6,0,19,15,16,25,20,18,25,49,59,111,105,180,294,439,425,476,605,782,947,1287,1843,2296,2419,2716,3446,4673,5174,28486
rates,0,0,0,0,0,0,0,0,15,6,0,5,5,11,17,47,84,170,169,174,325,327,448,556,601,700,848,1090,1374,1706,2273,2359,2271,2776,4057,6004,28418
leads,0,0,0,0,5,5,5,0,8,13,24,12,31,28,21,34,47,61,82,149,228,284,349,415,492,612,754,934,1349,1933,2608,2776,3037,3477,3952,4479,28204
comparison,0,0,0,0,0,0,0,6,15,8,25,11,17,18,26,35,48,77,125,150,265,323,422,575,629,696,851,1167,1629,2124,2706,2773,2934,3295,3616,3631,28197
derived,0,0,0,0,16,8,14,7,9,12,24,11,31,33,30,79,111,172,194,203,343,420,604,629,714,838,960,1249,1416,1824,2253,2286,2265,2784,3726,4835,28100
active,0,0,0,0,0,0,0,0,0,11,9,11,16,14,7,7,30,54,67,97,216,193,343,431,527,577,821,1000,1391,1838,2575,2981,3208,3491,3877,4284,28076
makes,0,0,0,0,6,8,16,14,13,8,18,15,18,39,22,33,54,92,91,153,212,250,413,459,559,663,851,1118,1586,2062,2705,2964,3200,3340,3450,3595,28027
games,0,0,0,0,0,0,0,0,0,17,0,15,10,24,12,54,64,141,310,299,498,719,780,778,1015,974,1137,1148,1534,1932,2339,2542,2429,2817,3070,3352,28010
instead,0,0,0,0,0,9,6,5,0,13,9,15,19,18,24,21,47,48,88,111,199,258,346,379,449,527,748,1010,1485,2118,2670,2936,3179,3547,3629,3915,27828
localization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,19,62,135,96,142,309,261,503,670,1046,1522,1739,2363,2791,3020,3607,4263,5246,27827
nature,0,0,0,0,5,5,0,7,11,6,8,18,20,14,22,39,55,73,91,118,182,263,366,427,437,538,653,813,1216,1583,2134,2375,2445,3505,4962,5422,27813
pipeline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,8,13,15,21,49,110,160,255,455,748,1072,1646,2233,2678,3567,5048,9697,27805
automatically,0,0,0,0,21,17,22,15,12,13,27,21,15,16,21,22,29,43,51,64,170,169,260,305,415,567,895,1226,1663,2175,2687,3007,2956,3309,3556,3996,27765
audio,0,0,0,0,0,0,0,0,0,0,6,0,14,16,6,0,0,23,13,22,43,67,75,109,141,170,340,667,990,1385,1860,2466,2936,3843,5427,7013,27632
mean,0,0,0,0,0,0,0,0,0,11,8,12,7,23,27,42,52,74,128,128,209,266,422,480,542,695,723,1002,1428,1893,2470,2699,2606,3026,3706,4944,27623
every,0,0,0,0,7,0,0,0,9,19,23,29,37,53,44,65,108,149,214,280,478,561,720,861,906,1020,1204,1402,1786,2060,2448,2357,2481,2682,2657,2907,27567
protocol,0,0,0,0,0,0,0,0,16,21,25,35,41,41,69,88,186,172,260,459,728,666,956,929,967,907,1021,1143,1420,1859,2273,2070,2189,2407,2653,3959,27560
leverages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,13,46,61,73,122,217,299,526,796,1089,1429,1803,3512,6841,10642,27488
coding,0,0,0,0,0,0,0,0,0,10,12,11,17,16,37,178,241,429,515,593,834,899,1208,1204,1074,1151,1254,1251,1435,1568,1516,1691,1810,2040,2703,3752,27449
faster,0,0,0,0,0,0,0,0,8,8,8,8,11,10,28,29,27,55,70,102,149,183,331,391,484,593,826,1141,1648,1915,2589,2706,2771,3149,3686,4482,27408
noisy,0,0,0,0,0,0,0,0,0,5,0,0,0,11,10,18,40,75,87,122,188,225,313,381,375,492,733,858,1239,1942,2401,2941,3054,3334,3834,4694,27372
engineering,0,0,0,0,0,0,8,0,0,0,10,9,23,23,23,31,45,69,82,94,163,210,272,361,477,444,553,794,1120,1380,1878,2379,2101,3411,4680,6729,27369
construction,0,0,0,0,11,8,11,0,12,20,19,35,25,53,38,105,114,132,178,261,386,434,604,733,697,800,966,1109,1213,1681,1888,2093,2270,2853,3635,4960,27344
perspective,0,0,0,0,0,0,6,5,0,0,8,11,13,10,19,16,35,32,54,99,129,204,231,284,312,455,589,749,1055,1526,2201,2431,2973,3717,4753,5418,27335
pairs,0,0,0,0,6,0,11,5,0,6,11,13,16,16,16,24,35,61,56,128,145,226,246,347,345,462,685,886,1259,1701,2120,2462,2817,3402,4334,5486,27327
lead,0,0,0,0,0,0,0,0,0,9,8,18,13,12,15,25,34,49,58,80,135,222,265,338,399,455,574,883,1255,1708,2389,2724,3002,3534,4371,4738,27313
service,0,0,0,0,0,0,0,0,42,8,0,86,56,71,61,53,70,90,99,230,503,532,670,826,939,915,1210,1192,1699,1948,2425,2391,2338,2466,3105,3271,27296
beyond,0,0,0,0,0,0,0,0,0,6,6,14,11,7,6,22,23,41,45,68,96,146,183,245,260,349,474,620,919,1241,1707,2024,2305,3219,4784,8456,27277
trajectory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,15,20,31,96,102,135,149,209,401,665,977,1601,2285,2458,2759,3572,4944,6828,27272
practice,0,0,0,0,0,0,0,0,12,7,8,19,13,14,21,33,44,58,92,94,188,258,334,382,467,549,768,952,1351,1863,2370,2874,3042,3250,3712,4495,27270
unknown,0,0,0,0,6,8,15,0,0,0,12,7,16,12,11,39,48,59,72,136,222,252,363,410,477,681,769,952,1346,1845,2577,2780,3117,3412,3827,3786,27257
deployment,0,0,0,0,0,0,0,0,0,0,0,5,0,14,56,6,19,37,38,50,106,105,172,192,245,273,458,590,871,1107,1636,1914,2153,3120,4700,9324,27191
property,0,0,0,0,0,0,0,0,0,17,35,37,35,28,23,61,71,119,179,271,361,390,620,725,745,882,882,1191,1385,1856,2231,2355,2656,3098,3240,3660,27153
leverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,15,21,49,71,89,150,187,378,512,895,1397,2069,2552,3054,4244,5430,6001,27128
detect,0,0,0,0,0,0,0,0,0,0,10,0,7,14,14,18,21,31,42,77,138,177,221,321,368,499,654,1010,1496,2058,2734,3065,3059,3385,3752,3953,27124
explicit,0,0,0,0,0,0,10,0,24,11,25,12,24,40,21,44,68,92,122,157,210,275,327,418,433,457,630,789,1132,1631,1965,2267,2260,2922,3722,7015,27103
measures,0,0,0,0,0,0,8,0,13,9,22,18,22,20,36,66,62,67,139,161,273,459,556,712,687,820,859,951,1444,1690,2459,2600,2620,2857,3569,3893,27092
competitive,0,0,0,0,0,0,0,0,0,0,10,32,8,9,11,11,25,39,44,65,114,174,226,294,417,464,616,917,1275,1738,2343,2678,2948,3195,3927,5504,27084
transmission,0,0,0,0,0,0,0,0,0,10,0,6,7,15,15,71,121,267,292,414,600,553,829,925,1106,1125,1262,1421,1587,1778,2118,2126,2269,2320,2805,3019,27061
constraint,0,0,0,0,10,25,27,18,23,15,71,65,55,50,93,85,152,174,223,326,456,550,562,632,761,852,950,1116,1353,1788,2363,2352,2422,2704,2986,3793,27052
imaging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,20,36,46,94,130,210,213,321,446,769,1204,1698,2283,2435,2878,3508,4893,5838,27048
observed,0,0,0,0,0,0,0,0,0,0,0,9,11,24,25,24,41,72,80,108,219,300,425,495,527,578,750,1086,1403,1759,2492,2666,2651,3217,3840,4214,27016
change,0,0,0,0,0,10,6,0,9,0,23,34,23,31,28,32,45,89,86,117,197,242,318,470,518,563,725,994,1345,1816,2428,2854,2995,3412,3844,3688,26942
consistent,0,0,0,0,0,0,0,0,6,0,9,18,19,20,7,33,31,52,71,76,113,140,201,275,299,373,505,701,946,1353,1820,2121,2408,3335,4375,7593,26900
federated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,11,11,34,45,53,176,706,1932,3068,4089,4902,5931,5925,26899
respect,0,0,0,0,10,8,9,0,7,18,21,16,22,40,53,67,67,125,163,202,341,473,569,695,718,843,1007,1313,1592,2226,2603,2788,2804,2807,2714,2578,26899
view,0,0,0,0,15,15,8,11,9,9,38,32,30,25,31,34,73,98,84,148,225,245,344,435,467,525,669,914,1396,1643,2123,2506,2765,3447,4212,4322,26898
shape,0,0,0,0,0,0,0,0,0,0,8,5,15,10,35,13,24,52,49,73,140,203,228,353,334,501,691,970,1486,2014,2753,2960,2994,3602,3454,3930,26897
word,0,0,0,0,66,62,62,59,60,24,60,38,33,25,29,27,52,66,94,148,179,231,320,459,638,791,1312,1830,2367,2917,3104,2730,2439,2335,2240,1990,26787
decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,172,215,342,313,330,522,609,602,648,715,729,713,1051,1050,1456,1632,1697,1833,2228,3974,5884,26753
researchers,0,0,0,0,0,0,0,5,0,0,9,5,14,8,16,12,29,29,45,75,136,143,238,402,405,420,562,808,1168,1528,2174,2787,2921,3827,4644,4338,26748
finding,0,0,0,0,7,0,7,5,12,5,27,20,45,34,39,73,77,129,144,243,371,442,589,709,756,812,1011,1163,1528,1801,2355,2622,2616,2871,3236,2942,26691
simultaneously,0,0,0,0,0,0,0,0,0,0,7,10,17,7,7,16,27,62,73,95,151,178,265,324,352,531,729,1055,1408,1892,2303,2600,2819,3362,3996,4384,26670
diversity,0,0,0,0,0,0,0,0,0,0,0,15,0,0,16,50,51,137,190,146,222,279,307,299,366,440,453,647,966,1265,1797,2022,2317,3391,4804,6437,26617
guarantees,0,0,0,0,0,0,0,0,11,0,0,0,7,0,14,15,22,41,49,69,144,217,342,397,441,611,733,899,1248,1617,2216,2460,2725,3124,3598,5611,26611
contrast,0,0,0,0,0,0,0,0,5,8,16,12,14,18,16,23,39,39,85,121,176,208,325,352,436,545,717,942,1290,1729,2249,2498,2734,3248,3843,4903,26591
survey,0,0,0,0,0,0,0,0,7,7,7,17,26,19,34,29,26,50,52,85,167,166,274,330,424,467,577,724,1066,1316,2198,2654,2816,3500,4648,4894,26580
useful,0,0,0,0,15,15,14,9,14,19,35,36,35,43,45,56,82,100,111,174,271,365,498,598,626,716,986,1238,1615,2167,2846,2864,2774,2877,2892,2437,26573
reward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,25,55,105,115,117,98,144,320,513,871,1450,1818,2035,2261,3054,4657,8886,26542
instance,0,0,0,0,0,0,0,0,8,0,13,0,20,20,17,26,31,57,73,122,172,226,256,346,422,482,685,855,1352,1891,2443,2776,3113,3566,3728,3812,26512
describe,0,0,0,0,30,35,27,27,34,20,66,64,58,99,93,90,117,166,185,237,384,519,668,891,858,935,1165,1387,1651,2092,2651,2592,2459,2441,2336,2128,26505
modern,0,0,0,0,0,0,0,0,8,0,6,13,9,9,20,21,26,32,35,65,109,157,213,324,351,462,557,794,1178,1600,2126,2496,2522,2986,3881,6504,26504
actions,0,0,0,0,0,0,0,0,12,6,6,16,13,9,19,16,46,24,59,79,134,219,284,381,336,457,665,927,1321,1637,2091,2379,2498,3190,4128,5523,26475
length,0,0,0,0,13,0,8,5,15,24,22,27,39,58,44,127,148,176,244,303,449,532,670,757,744,862,1000,1113,1311,1646,1914,1863,1957,2462,3507,4411,26451
cannot,0,0,0,0,0,14,7,0,14,13,19,14,20,23,25,43,70,82,106,168,245,314,391,499,526,605,780,974,1373,1994,2467,2658,2997,3298,3340,3372,26451
reliable,0,0,0,0,0,0,0,0,0,11,15,10,8,9,13,28,42,46,46,83,155,147,252,229,312,310,428,660,880,1237,1721,1990,2226,3098,4485,7978,26419
aim,0,0,0,0,0,0,0,0,0,7,11,13,12,16,20,22,33,81,83,105,207,201,299,402,405,499,622,909,1271,1641,2323,2608,2781,3661,4351,3713,26296
partial,0,0,0,0,10,12,0,8,32,18,26,32,40,50,42,65,51,81,132,187,239,392,388,539,532,642,782,841,1098,1676,2266,2417,2748,3104,3608,4205,26263
arbitrary,0,0,0,0,0,7,0,0,8,25,28,34,40,45,40,67,125,138,214,287,401,457,663,647,676,803,924,1166,1345,1899,2192,2290,2489,2838,3034,3361,26243
produce,0,0,0,0,10,0,0,8,0,0,12,10,13,19,19,20,32,37,65,68,147,167,252,264,344,425,583,883,1223,1747,2205,2469,2693,3355,4008,5130,26208
costs,0,0,0,0,0,0,0,0,0,0,6,28,12,10,17,15,29,38,41,92,120,179,263,328,335,412,520,599,806,1091,1607,1907,2221,3283,5339,6869,26167
defined,0,0,0,0,7,0,7,7,18,22,35,39,53,53,55,93,128,210,210,269,395,503,632,756,796,920,1039,1256,1516,1906,2285,2389,2347,2458,2766,2982,26152
relative,0,0,0,0,0,5,7,11,5,6,23,19,15,27,23,33,36,69,93,114,181,270,330,468,462,601,698,946,1228,1631,2074,2373,2622,2868,3402,5502,26142
complete,0,0,0,0,9,11,5,8,15,37,33,24,45,60,40,62,77,125,172,181,369,462,546,664,701,751,829,963,1258,1616,2024,2208,2399,2917,3289,4234,26134
generalized,0,0,0,0,0,5,8,6,9,16,18,29,39,35,73,85,126,117,139,175,333,484,540,681,693,741,960,1070,1308,1838,2200,2395,2455,2910,3172,3468,26128
sources,0,0,0,0,15,0,11,7,32,13,9,17,13,20,24,69,89,145,135,212,321,411,484,491,570,653,825,936,1330,1536,2149,2242,2407,2965,3740,4226,26097
alternative,0,0,0,0,16,7,12,13,13,11,16,18,25,17,29,37,58,87,91,120,179,250,357,433,475,544,662,836,1175,1602,2012,2132,2426,2936,3900,5544,26033
vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,71,54,88,126,210,271,459,928,1515,1908,2771,2887,2849,3547,4303,3991,26009
demonstrates,0,0,0,0,0,0,0,0,0,0,5,7,14,0,6,6,10,24,31,31,64,67,98,149,174,187,289,453,692,955,1323,1458,1708,3282,6374,8498,25905
methodology,0,0,0,0,7,0,0,9,10,14,16,26,20,20,28,39,44,104,78,122,186,210,330,396,469,502,578,791,1145,1582,2268,2271,2267,3093,4557,4714,25896
label,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,38,25,81,122,158,238,353,523,827,1091,1755,2653,3049,3536,4015,3822,3510,25828
positive,0,0,0,0,0,0,0,0,5,22,15,20,25,22,37,33,62,68,113,171,273,307,398,540,624,718,833,942,1249,1625,2340,2371,2720,3018,3486,3757,25794
hand,0,0,0,0,0,9,8,0,5,0,24,22,22,14,27,42,38,61,84,124,185,246,304,417,483,577,733,1070,1384,1898,2366,2677,2846,3262,3697,3078,25703
spectral,0,0,0,0,0,0,0,0,0,0,10,12,12,23,0,37,41,78,94,122,192,266,334,424,593,821,877,1198,1433,1862,2201,2201,2381,2556,3059,4792,25619
total,0,0,0,0,0,0,0,0,21,17,15,16,20,26,24,45,54,102,147,190,345,397,565,673,687,809,887,1137,1368,1748,2280,2347,2345,2855,3013,3481,25614
reduces,0,0,0,0,0,0,0,0,0,7,0,7,13,6,14,16,29,45,47,82,145,136,222,238,287,350,458,663,891,1270,1721,1958,2106,2768,4343,7788,25610
offers,0,0,0,0,0,8,0,0,0,0,8,0,6,14,15,15,17,35,50,67,112,137,176,246,232,305,387,495,658,848,1147,1240,1475,3094,5764,8990,25541
minimum,0,0,0,0,12,7,8,0,21,11,11,17,35,31,50,102,131,208,280,327,561,642,760,951,975,1109,1263,1440,1519,1952,2207,1937,1998,2282,2269,2423,25539
downstream,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,14,9,17,28,56,110,244,594,1354,2104,3248,4780,6104,6832,25515
channels,0,0,0,0,0,0,0,0,0,0,0,5,13,19,56,203,253,398,498,597,812,854,885,980,1113,1155,1251,1295,1366,1574,1855,1870,1861,2027,2203,2336,25479
capability,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,12,23,31,51,59,81,116,144,162,230,225,346,506,813,1177,1553,1891,2142,3606,5720,6558,25473
degree,0,0,0,0,11,5,0,0,13,14,24,28,43,57,64,83,105,128,210,295,463,659,824,910,921,1115,1053,1191,1431,1701,2067,2080,2005,2516,2750,2680,25446
conduct,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,15,18,33,48,61,119,116,191,273,505,789,1239,1963,2538,2961,4368,5305,4869,25423
evaluations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,10,11,15,21,28,53,100,121,152,198,310,434,775,980,1467,1582,1782,3064,5634,8633,25389
realistic,0,0,0,0,0,0,0,0,0,0,0,6,0,7,5,31,19,37,51,73,110,129,170,202,257,343,463,687,1073,1519,1886,2194,2439,3325,4027,6207,25260
web,0,0,0,0,0,0,0,0,23,26,41,44,79,93,88,89,83,121,200,369,672,774,1103,1156,1002,1012,940,1189,1432,1370,1732,1670,1595,2124,2725,3505,25257
evaluating,0,0,0,0,0,5,6,10,5,7,5,10,10,6,10,13,27,25,22,44,79,106,162,216,208,250,342,476,730,1038,1372,1687,1905,3185,5456,7825,25242
integrated,0,0,0,0,13,0,0,6,12,0,0,24,6,14,19,19,43,54,79,72,113,128,207,222,301,328,435,648,945,1201,1695,2048,2205,3109,4687,6584,25217
foundation,0,0,0,0,0,0,0,0,0,0,7,6,6,11,5,9,18,17,16,30,45,44,48,93,105,121,140,180,244,328,445,553,852,2952,6487,12374,25136
must,0,0,0,0,19,14,8,7,12,15,23,22,25,32,46,43,53,82,116,162,277,319,446,526,542,583,765,1016,1256,1582,2078,2203,2304,2703,3213,4633,25125
iterative,0,0,0,0,0,0,11,0,0,10,0,7,9,18,12,75,63,64,104,150,189,261,387,502,444,587,644,879,1121,1551,1999,2063,2181,2588,3602,5602,25123
allocation,0,0,0,0,0,0,0,0,14,0,0,6,13,0,10,29,66,128,188,163,310,430,543,655,897,795,999,1210,1451,1649,2047,2091,1999,2299,3006,4123,25121
execution,0,0,0,0,0,0,0,0,7,17,42,18,22,42,29,34,38,95,73,112,176,280,286,322,400,465,614,826,1328,1479,1817,1962,2021,2587,3679,6344,25115
kernel,0,0,0,0,0,0,0,0,0,0,0,8,16,6,0,12,35,25,72,94,144,258,406,391,561,743,950,1061,1383,1952,2530,2398,2450,2770,3097,3703,25065
assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,16,21,26,51,62,87,139,197,240,215,371,571,875,1160,1779,2157,2375,3017,4644,7006,25025
instances,0,0,0,0,0,0,7,5,18,5,13,13,16,20,24,38,33,40,94,112,166,274,280,475,478,584,786,966,1321,1724,2236,2483,2711,3031,3460,3608,25021
implemented,0,0,0,0,30,21,34,17,23,12,26,35,20,45,40,42,64,122,111,154,311,379,498,574,648,729,903,1126,1474,1802,2386,2400,2432,2605,2875,3082,25020
scientific,0,0,0,0,0,0,0,0,0,9,0,13,29,21,31,36,48,41,98,155,211,218,288,465,443,475,585,766,1184,1144,1823,2006,2130,2795,3972,6030,25016
studied,0,0,0,0,0,0,7,0,6,13,26,16,30,29,30,60,94,155,206,241,330,477,554,659,755,811,952,1150,1417,1857,2274,2429,2693,2691,2655,2388,25005
amount,0,0,0,0,8,0,6,10,6,6,13,11,8,21,22,32,57,70,76,119,210,241,368,453,617,634,865,1122,1660,2116,2682,2823,3048,2989,2814,1877,24984
unique,0,0,0,0,0,0,0,0,6,8,19,12,13,15,17,32,31,58,78,112,205,291,317,370,354,469,544,726,976,1278,1719,1984,2153,3147,4942,5080,24956
program,0,0,0,0,16,8,10,0,31,19,95,88,81,102,79,71,137,147,170,240,366,470,512,653,726,816,964,1318,1492,1798,1949,2223,2124,2502,2792,2957,24956
decomposition,0,0,0,0,0,0,0,0,0,0,10,13,11,0,20,32,94,54,113,149,267,277,355,452,569,746,731,1025,1141,1664,1982,2201,2480,2600,3394,4574,24954
recommendation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,16,54,50,74,151,211,192,296,440,664,1057,1443,2032,2559,2901,3627,4484,4674,24947
understand,0,0,0,0,0,5,0,0,0,0,6,7,6,10,14,17,27,37,34,71,125,147,196,228,301,395,520,737,1114,1638,2144,2678,2717,3431,4288,4043,24936
verification,0,0,0,0,0,0,0,0,0,0,13,9,12,18,25,43,44,71,47,115,223,291,324,446,534,551,707,891,1279,1535,1917,2107,2145,2426,3534,5627,24934
semantics,0,0,0,0,33,34,22,15,27,19,105,47,131,94,67,101,101,109,144,216,374,491,428,633,733,659,799,873,1152,1378,1657,1982,2212,2699,3205,4391,24931
base,0,0,0,0,10,12,14,5,9,11,27,23,24,18,16,31,47,71,95,145,242,276,351,596,648,729,942,1096,1332,1434,1873,2047,2177,2616,3471,4469,24857
spaces,0,0,0,0,0,0,0,0,0,9,12,7,17,25,29,28,32,55,77,131,158,211,306,362,361,391,622,836,1074,1689,2070,2337,2447,3094,3813,4662,24855
shared,0,0,0,0,0,0,0,0,0,0,0,13,16,20,7,32,26,32,55,111,141,162,213,279,308,481,741,928,1234,1638,2118,2385,2370,2891,3496,5154,24851
stable,0,0,0,0,0,0,0,0,12,13,27,21,25,48,35,25,47,41,145,125,239,248,332,415,455,497,457,794,1048,1420,1896,1915,2054,2889,3698,5914,24835
influence,0,0,0,0,0,0,0,5,0,0,0,14,5,0,5,22,26,30,49,66,155,264,424,524,476,522,740,907,1119,1439,1937,1960,2212,2875,4014,5036,24826
highquality,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,17,23,38,37,50,84,151,267,455,765,1090,1471,1996,3699,6224,8374,24756
major,0,0,0,0,0,0,0,5,6,0,13,13,16,30,22,27,43,69,68,112,206,213,373,432,538,563,680,1039,1348,1652,2301,2426,2494,2721,3007,4264,24681
maintaining,0,0,0,0,0,0,0,0,0,5,9,5,6,12,7,12,14,30,29,45,86,100,113,139,184,198,301,370,580,815,1134,1360,1602,2652,5203,9662,24673
combining,0,0,0,0,0,7,13,7,6,14,18,18,7,16,15,26,39,38,59,107,105,174,240,345,354,423,574,834,1182,1422,1880,2049,2242,2666,3778,5995,24653
sequential,0,0,0,0,0,0,0,0,0,0,12,19,20,10,8,20,31,122,73,115,177,202,309,313,365,462,680,844,1258,1649,2010,2277,2321,2955,3685,4714,24651
establish,0,0,0,0,0,0,0,0,0,11,12,17,13,13,20,37,63,64,97,158,206,261,319,418,454,515,570,739,815,1334,1714,1789,2028,2855,3987,6117,24626
contrastive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,29,53,51,106,169,1063,2869,4437,5051,5277,5454,24581
direct,0,0,0,0,0,10,14,0,8,0,9,20,12,23,22,31,39,79,111,129,191,226,308,393,459,557,584,774,1077,1355,1756,1900,2044,2616,3946,5843,24536
identifying,0,0,0,0,6,0,0,0,0,0,6,0,0,5,7,10,12,26,26,55,136,114,247,264,329,349,524,712,954,1207,1738,1968,2042,3139,4891,5761,24528
measurements,0,0,0,0,0,0,0,0,0,0,0,11,9,13,18,23,36,63,94,187,222,362,424,642,665,826,960,1167,1402,1777,2087,2234,2421,2606,2939,3321,24509
virtual,0,0,0,0,0,0,0,0,10,9,16,17,32,85,25,39,45,96,85,79,229,214,279,337,400,521,615,735,1144,1523,1895,2264,2619,2989,3859,4345,24506
precision,0,0,0,0,0,6,14,11,0,13,17,14,12,12,13,25,30,46,29,69,90,110,185,227,281,350,506,705,1106,1409,1858,1988,1991,2800,4443,6112,24472
considering,0,0,0,0,0,0,0,0,0,0,7,8,8,9,15,13,29,48,67,102,164,202,292,324,415,490,609,844,1144,1686,2199,2572,2907,3575,3958,2773,24460
convex,0,0,0,0,0,0,0,0,0,14,14,0,20,22,12,46,42,92,115,218,301,412,585,806,871,980,1106,1204,1625,1938,2309,2203,2198,2392,2279,2641,24445
extend,0,0,0,0,0,0,9,5,6,10,16,13,15,31,27,44,66,73,103,146,247,355,447,500,580,680,791,910,1238,1581,2001,2163,2237,2702,3289,4157,24442
services,0,0,0,0,0,0,0,0,13,8,9,73,52,94,69,43,43,58,71,175,485,398,608,710,686,799,942,1047,1417,1654,2192,2146,2170,2456,3071,2933,24422
component,0,0,0,0,11,11,10,7,10,0,8,5,10,29,42,40,47,83,97,130,279,297,377,423,538,633,719,942,1338,1671,2142,2237,2204,2664,3346,4031,24381
matrices,0,0,0,0,0,0,0,0,0,13,0,21,28,19,24,57,99,131,200,258,358,459,608,721,843,1011,1014,1055,1188,1783,2093,2089,2098,2295,2852,3050,24367
platform,0,0,0,0,0,0,0,0,0,0,0,9,0,18,33,14,22,81,51,95,135,135,167,278,414,479,694,918,1281,1629,2166,2298,2432,2758,3635,4619,24361
manner,0,0,0,0,12,0,0,0,6,0,0,10,15,22,16,25,30,35,58,75,155,171,229,286,334,385,567,860,1240,1720,2312,2691,2877,3418,3529,3211,24289
augmentation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,14,17,47,38,75,162,273,692,1232,2189,2829,3533,3938,4633,4592,24276
core,0,0,0,0,6,0,0,0,9,9,5,11,0,26,18,27,45,50,79,55,141,199,249,282,373,445,596,703,985,1235,1657,1881,2035,2448,3634,7042,24245
reduced,0,0,0,0,0,0,7,0,0,15,20,12,19,15,20,27,47,81,114,102,190,244,341,347,436,495,613,825,1117,1625,1985,2253,2370,2775,3567,4550,24212
extract,0,0,0,0,0,0,0,0,0,0,10,10,8,11,14,14,9,14,31,58,101,97,134,212,237,317,467,782,1077,1648,2263,2535,2848,3340,3947,4004,24188
publicly,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,16,22,35,36,101,129,191,327,532,758,1251,1806,2282,2666,3635,4631,5748,24179
perception,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,13,15,22,46,64,91,112,161,238,363,643,1030,1448,1700,2219,3464,5191,7330,24176
