,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
explicit,0,0,0,10,52,61,86,84,136,184,246,305,307,381,458,588,649,798,1016,1022,1146,1419,1623,1713,1972,2168,2312,2454,2521,2578,2887,3118,3087,3103,3261,3654,4859,50258
networks,0,0,0,0,0,0,0,0,0,7,24,14,23,22,43,71,173,256,505,557,628,992,1111,1428,1704,1747,2174,2416,2777,2944,3480,4163,4248,4167,4483,4877,4690,49724
compact,0,0,9,45,50,111,116,180,154,300,337,337,423,475,649,725,833,1022,1195,1223,1430,1606,1661,1938,2064,2192,2521,2552,2507,2718,2823,2752,2691,2756,2947,3087,3268,49697
measure,0,0,0,31,47,46,30,42,33,117,138,154,238,267,313,533,608,801,852,983,1088,1394,1749,1919,2165,2235,2574,2579,2661,2877,3071,3157,3045,3075,3254,3716,3893,49685
formula,0,0,0,21,54,129,112,159,183,319,346,335,419,455,734,734,765,961,1033,1120,1265,1655,1790,1956,2039,2188,2279,2499,2580,2680,2727,2944,2839,2762,2864,3364,3311,49621
power,0,0,0,0,12,15,27,28,34,64,57,89,121,137,203,231,400,444,691,796,906,1118,1270,1618,2138,2315,2642,3047,3576,3335,3341,3641,3526,3341,3518,3442,3490,49613
matrices,0,0,0,29,20,44,46,41,90,137,219,224,225,317,365,450,685,669,907,934,1179,1471,1572,1842,2207,2272,2526,2458,2527,2674,2990,3443,3225,2922,3205,3629,3719,49263
construction,0,0,0,31,59,103,149,173,206,231,287,394,373,544,555,662,720,920,987,1055,1248,1471,1546,1889,2065,2015,2286,2353,2508,2602,2774,2893,2858,2750,3082,3302,3909,49000
smooth,0,0,9,49,63,77,114,138,169,223,243,342,339,407,511,601,677,785,949,1093,1201,1354,1534,1713,1942,1937,2327,2344,2580,2678,2766,3114,2901,3030,3413,3477,3842,48942
metric,0,0,7,21,33,51,36,85,91,149,195,257,267,378,407,550,668,742,937,1001,1114,1274,1760,1825,1929,2104,2310,2367,2527,2614,2882,3136,2998,3022,3347,3504,3946,48534
