,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Total
concept,0,0,0,8,0,12,13,17,21,52,63,96,57,107,110,134,162,200,228,270,296,437,466,519,629,699,735,756,773,827,979,1032,1074,1010,1190,1431,1382,15785
euler,0,0,0,0,10,18,11,26,37,71,69,105,82,139,110,162,210,241,303,272,374,418,415,600,567,653,705,692,859,884,1010,1036,1017,1017,1123,1256,1259,15751
role,0,0,0,5,16,17,20,27,22,44,82,73,72,92,118,157,180,201,248,288,316,444,483,505,588,656,675,701,779,789,879,1049,1029,1106,1197,1297,1519,15674
ideals,0,0,0,0,13,28,20,46,43,52,69,81,96,231,216,195,272,307,385,407,321,508,582,675,660,641,744,656,795,747,860,871,1047,890,1022,1048,1104,15632
consequence,0,0,0,0,8,16,17,22,27,74,97,71,77,125,119,197,199,283,296,335,374,404,469,582,648,708,769,813,888,855,906,1065,999,958,999,1059,1157,15616
left,0,0,0,7,0,10,16,24,20,43,54,63,57,106,101,148,179,204,193,259,316,408,355,389,531,748,797,903,984,985,999,1010,954,1061,1109,1218,1289,15540
joint,0,0,0,0,0,0,0,13,5,9,33,34,27,41,92,76,135,150,197,236,251,324,419,517,651,734,662,858,873,894,924,1109,1198,1219,1190,1290,1374,15535
scaling,0,0,0,12,0,5,0,15,15,21,73,44,75,105,134,144,185,279,282,325,325,445,455,568,652,707,746,751,687,850,847,1020,972,1015,1074,1229,1461,15518
interval,0,0,0,13,6,21,0,8,16,25,46,45,51,100,96,141,151,229,259,339,362,411,581,676,651,719,792,848,838,922,962,991,1040,915,970,1170,1121,15515
discussed,0,0,0,23,26,43,70,71,72,114,155,152,172,195,210,238,278,315,343,385,462,518,629,656,702,733,778,795,791,746,870,893,934,851,864,769,654,15507
another,0,0,0,12,12,18,28,37,51,74,61,100,91,119,132,179,185,263,281,346,384,471,522,547,610,659,773,751,757,826,994,993,993,1006,1059,1105,1058,15497
proofs,0,0,0,14,15,21,19,31,32,52,68,77,98,103,146,161,234,264,322,314,376,454,465,616,589,670,736,770,868,814,865,967,1014,922,1076,1074,1249,15496
whether,0,0,0,11,0,12,14,26,18,42,42,62,64,87,86,129,161,187,215,238,322,335,460,533,592,677,704,751,867,835,954,1023,1090,1126,1141,1247,1439,15490
showing,0,0,0,6,0,6,19,20,21,32,41,52,55,71,87,126,163,172,213,218,282,359,399,447,552,620,689,660,845,860,942,1057,1035,1115,1210,1343,1763,15480
cyclic,0,0,0,8,6,13,20,36,31,84,92,153,153,131,182,240,203,297,337,317,366,490,510,577,612,667,837,850,874,764,841,778,875,945,978,969,1229,15465
particle,0,0,0,0,0,11,17,9,29,65,100,123,124,159,111,168,245,241,309,332,365,501,636,676,630,584,651,716,716,708,761,962,939,990,1098,1280,1207,15463
component,0,0,0,0,15,25,15,21,23,30,60,52,67,89,91,146,194,241,275,305,392,446,466,596,534,657,694,719,873,801,891,1073,1048,956,1077,1218,1363,15453
wellknown,0,0,0,0,11,12,19,19,35,54,68,58,70,82,99,120,174,201,233,264,325,418,505,544,584,684,713,788,804,887,976,1055,1082,1036,1155,1199,1154,15428
lagrangian,0,0,0,0,0,8,32,30,46,40,120,217,178,157,265,216,222,318,337,331,422,422,510,527,616,656,650,689,796,776,883,883,970,897,979,1175,1052,15420
coding,0,0,0,0,0,0,0,0,6,0,11,9,14,7,13,39,206,250,412,488,536,716,792,971,1023,840,898,856,908,895,847,718,693,798,763,809,884,15402
partition,0,0,7,9,14,10,16,24,30,47,54,93,64,109,149,213,170,187,261,281,313,436,439,524,685,651,644,721,871,905,911,1012,975,999,1104,1137,1257,15322
studies,0,0,0,0,5,0,6,0,6,18,25,34,28,55,49,77,105,149,166,172,204,300,330,400,492,549,628,683,787,757,958,1204,1225,1242,1337,1578,1702,15271
criterion,0,0,0,0,11,19,14,13,22,27,26,68,56,101,104,144,178,225,297,338,347,510,580,610,649,743,760,762,747,810,859,1002,950,991,996,1034,1270,15263
practical,0,0,0,0,0,0,0,0,0,9,12,13,24,16,21,37,70,101,124,135,187,234,343,473,445,516,569,644,743,791,949,1050,1203,1189,1422,1633,2303,15256
short,0,0,0,12,8,13,16,22,18,46,33,52,59,83,110,133,195,194,280,301,352,476,513,554,598,663,736,811,834,879,980,1000,1048,998,1027,1079,1094,15217
admits,0,0,0,8,9,25,12,22,45,50,55,65,106,104,136,149,184,224,263,314,333,370,438,550,569,635,662,742,808,782,870,980,926,1017,991,1105,1640,15189
include,0,0,0,0,5,14,16,19,37,50,66,55,92,85,143,146,201,241,251,256,314,433,441,545,564,646,715,797,773,800,901,1014,1025,1018,1076,1195,1239,15173
region,0,0,0,0,0,0,0,0,15,29,31,51,33,51,43,73,117,218,236,344,417,595,750,674,689,719,765,826,803,860,862,945,923,914,1002,1036,1141,15162
negative,0,0,0,6,0,6,19,25,33,44,73,86,90,99,134,137,155,188,264,284,391,405,538,525,594,573,699,756,805,851,890,986,1094,1070,1075,1126,1140,15161
uniformly,0,0,0,0,12,0,8,16,11,36,30,38,34,65,90,120,138,213,243,259,304,399,504,571,693,660,820,775,856,824,963,1068,1079,963,1011,1076,1282,15161
effect,0,0,0,0,0,7,0,0,10,28,27,52,54,70,70,105,111,155,164,234,307,439,427,552,526,585,767,733,786,873,901,1093,1112,1161,1243,1318,1219,15129
right,0,0,0,5,13,11,13,27,24,30,45,46,50,56,78,116,144,189,216,237,344,434,344,418,549,707,725,882,1045,938,1059,960,972,1044,1016,1205,1174,15116
actions,0,0,0,9,16,24,34,51,47,74,123,168,122,149,180,206,218,306,319,305,437,446,488,546,611,696,680,752,795,798,830,930,917,892,915,999,1031,15114
flat,0,0,0,11,26,24,27,46,71,72,100,118,152,178,247,227,255,308,254,323,432,437,573,536,626,659,642,700,772,757,780,867,828,944,996,974,1130,15092
completely,0,0,0,11,20,25,32,25,46,52,96,97,120,153,158,171,260,245,288,300,364,502,516,585,622,739,727,828,827,778,871,929,883,880,919,999,992,15060
transition,0,0,0,0,0,0,0,14,17,35,52,42,56,89,99,173,203,229,246,282,307,436,550,587,576,693,766,760,752,894,815,995,955,983,1015,1103,1313,15037
shows,0,0,0,7,10,10,19,17,24,35,66,57,48,74,91,142,149,195,229,264,299,387,501,471,612,680,731,732,800,833,1023,1080,983,1055,1118,1072,1221,15035
latter,0,0,0,0,11,22,22,25,42,46,68,65,97,95,120,137,193,216,229,282,351,393,458,479,581,605,696,723,777,863,889,1013,1098,1088,1076,1159,1083,15002
image,0,0,0,8,0,12,12,19,29,42,43,70,61,73,97,95,132,174,207,236,316,387,437,505,542,585,711,739,796,831,954,1035,982,1082,1082,1356,1305,14955
previously,0,0,0,0,11,13,16,27,31,46,64,79,87,94,104,113,173,223,237,258,315,391,464,531,547,618,709,729,782,777,888,998,969,981,1091,1159,1420,14945
definition,0,0,0,18,13,28,42,44,65,73,90,99,110,157,166,196,209,273,331,358,390,505,540,609,660,679,731,679,797,773,822,889,862,849,925,960,981,14923
approximations,0,0,0,0,0,0,0,0,6,17,23,24,42,33,45,75,115,134,163,183,242,322,406,459,566,672,729,730,908,995,992,1093,1099,1053,1196,1281,1302,14905
mass,0,0,0,0,0,0,23,12,12,28,79,47,57,82,114,142,176,208,248,290,378,462,490,574,559,638,635,685,762,815,880,1062,1059,877,1086,1151,1264,14895
four,0,0,0,0,9,13,26,34,42,42,65,100,72,101,127,165,195,254,249,289,382,460,590,554,602,642,738,710,777,741,866,938,876,1008,986,1052,1162,14867
often,0,0,0,0,6,0,9,5,12,15,21,23,26,34,31,59,80,132,141,153,180,236,294,327,442,502,550,629,720,762,879,1100,1133,1141,1317,1724,2174,14857
fully,0,0,0,0,6,0,6,5,5,13,24,22,26,39,55,56,87,99,134,141,187,266,312,455,491,583,607,664,788,865,935,1084,1234,1153,1208,1477,1757,14784
nonnegative,0,0,0,0,0,0,7,11,23,40,56,56,44,78,99,145,164,199,249,260,340,422,514,558,707,685,771,742,790,845,898,957,903,897,1057,1089,1168,14774
integrable,0,0,0,14,24,36,50,67,89,133,166,157,196,225,201,241,275,317,341,332,378,474,511,616,661,774,707,695,717,726,739,793,802,795,782,850,878,14762
objective,0,0,0,0,0,0,0,0,0,0,5,11,0,13,18,21,30,58,91,86,93,148,238,273,312,444,583,679,708,884,1153,1351,1276,1406,1554,1644,1683,14762
spacetime,0,0,0,0,9,10,12,27,58,71,113,115,137,153,159,212,194,243,283,347,324,487,562,614,612,676,698,690,680,664,769,742,971,840,979,1122,1116,14689
decay,0,0,0,0,0,0,0,0,10,28,44,53,56,58,89,118,160,210,233,260,281,347,462,492,538,626,748,633,753,791,889,980,1008,919,1063,1269,1470,14588
torus,0,0,0,0,21,25,27,50,38,80,125,132,129,155,251,238,270,312,349,335,387,433,511,618,576,656,712,639,675,747,809,821,805,879,806,912,1047,14570
users,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,90,145,184,240,364,434,462,590,677,841,1020,1063,1105,1053,1166,1143,1126,1003,978,844,14567
intersection,0,0,0,8,19,46,32,61,66,84,86,116,134,150,206,205,221,243,330,332,368,403,498,558,601,642,626,698,719,819,840,922,891,806,808,907,1109,14554
regime,0,0,0,0,0,0,0,0,0,17,15,34,23,23,55,65,96,117,151,170,209,319,310,446,491,590,685,699,797,833,928,1017,1141,1171,1198,1343,1598,14541
long,0,0,0,0,6,0,6,7,10,41,42,40,47,70,87,137,182,192,270,281,314,448,468,494,568,616,756,730,780,834,945,1002,1021,992,1021,1051,1047,14505
spin,0,0,0,0,9,26,34,41,102,114,193,138,224,255,224,263,300,278,358,326,352,533,576,661,575,618,638,630,632,648,731,795,760,796,828,950,861,14469
objects,0,0,0,0,7,25,21,37,52,72,65,74,91,130,138,159,173,283,336,310,320,411,483,499,574,664,664,679,723,822,785,914,895,932,987,1109,1012,14446
proper,0,0,0,8,11,15,15,35,30,47,49,53,86,121,125,137,212,228,241,268,352,323,399,558,557,654,711,742,737,765,840,1032,997,993,980,1043,1067,14431
arithmetic,0,0,0,17,13,20,42,37,22,33,61,78,109,128,114,191,225,237,318,325,361,401,400,492,588,608,649,735,753,811,819,905,821,969,939,975,1231,14427
brownian,0,0,0,0,0,0,0,0,13,28,26,44,28,68,105,207,293,278,353,380,442,534,654,592,677,723,655,854,786,753,748,853,819,760,899,858,962,14392
mapping,0,0,0,22,25,34,27,35,34,65,82,78,79,119,140,159,251,263,293,270,338,387,450,513,558,563,605,686,716,773,845,914,944,950,1026,1067,1075,14386
expected,0,0,0,0,9,11,8,12,11,29,29,47,38,50,61,84,134,191,181,207,252,335,366,456,508,542,666,737,774,876,949,1080,1039,1081,1154,1233,1234,14384
statistics,0,0,0,0,0,0,17,30,18,30,55,52,52,59,75,117,132,232,248,290,332,366,437,531,554,683,696,717,792,703,829,979,1040,975,960,1107,1117,14225
sigma,0,0,0,13,18,27,22,12,48,40,40,77,102,137,130,152,172,226,266,322,322,438,411,468,552,579,782,633,843,861,842,957,854,957,909,985,976,14173
block,0,0,0,0,0,0,8,10,10,0,9,8,17,22,35,60,121,168,206,246,236,278,410,500,592,643,659,778,861,883,937,1035,1001,1040,1033,1170,1190,14166
nodes,0,0,0,0,0,21,14,12,8,8,9,14,22,20,18,61,95,103,230,257,314,476,519,602,656,747,685,831,909,994,983,974,1074,894,886,834,859,14129
presence,0,0,0,0,0,0,0,7,15,34,41,44,55,50,55,88,118,151,178,219,254,386,455,494,570,589,670,759,828,760,831,1021,1039,956,1086,1194,1138,14085
motivated,0,0,0,0,0,10,6,8,25,26,20,41,45,68,75,91,113,148,207,200,252,302,381,448,536,579,631,668,773,802,912,1029,1030,1056,1118,1156,1323,14079
isomorphic,0,0,0,19,17,42,50,52,58,72,103,143,131,173,200,230,291,285,311,345,350,434,510,500,635,593,658,670,753,724,769,763,757,752,839,851,978,14058
deep,0,0,0,0,0,0,0,0,0,9,8,8,0,9,14,25,23,26,34,37,31,50,82,110,102,91,121,178,385,783,1286,1637,1721,1743,1812,1903,1805,14033
regression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,131,143,231,273,226,260,373,342,483,414,589,569,683,811,1020,1261,1137,1121,1226,1358,1318,14029
appropriate,0,0,0,9,12,18,20,21,33,42,61,63,69,101,96,143,176,190,217,289,316,427,440,482,518,608,662,740,770,780,819,920,950,873,994,1079,1089,14027
twodimensional,0,0,0,0,13,15,19,22,28,42,80,89,77,114,111,159,192,202,250,252,293,416,470,503,531,543,652,724,728,730,870,894,864,857,870,1146,1242,13998
exactly,0,0,0,0,0,14,22,23,33,41,70,74,79,125,119,152,172,210,278,224,319,404,430,523,569,628,678,739,716,733,861,867,909,890,911,986,1178,13977
unknown,0,0,0,0,0,0,0,0,0,8,7,28,14,23,28,39,91,135,178,166,238,268,384,399,516,512,624,656,761,793,917,1102,1168,1127,1232,1253,1288,13955
vectors,0,0,0,14,18,12,23,19,72,53,92,62,83,97,122,126,137,185,196,255,254,386,424,528,628,621,680,771,776,749,864,866,883,885,950,1075,1021,13927
nonlocal,0,0,0,0,0,0,0,6,17,27,14,34,31,33,22,61,70,63,103,134,169,208,285,326,445,583,566,672,736,897,993,1111,1079,1105,1279,1381,1461,13911
cycles,0,0,0,0,7,11,26,19,22,27,69,68,89,77,107,136,183,183,169,219,260,330,412,481,490,604,596,688,859,808,921,911,893,905,1004,1055,1281,13910
limits,0,0,0,7,0,14,19,17,21,53,51,71,51,73,84,130,165,200,271,265,318,364,447,483,529,570,669,679,677,773,882,922,917,822,1007,1070,1282,13903
gauge,0,0,0,9,31,38,69,85,113,128,175,204,164,264,220,247,236,255,230,289,301,439,585,538,609,693,695,706,636,663,751,654,794,773,713,756,826,13889
subgroups,0,0,0,0,13,15,15,22,39,52,67,82,68,102,125,194,244,279,348,360,389,464,480,507,651,647,654,774,753,724,783,831,738,792,869,840,960,13881
distinct,0,0,0,0,0,7,14,14,13,36,37,48,64,54,81,111,126,141,182,237,241,293,386,379,477,560,639,696,665,733,818,858,886,852,1095,1350,1782,13875
heat,0,0,0,0,0,0,0,12,13,28,28,34,51,68,99,65,129,179,178,240,301,370,413,509,582,598,589,722,740,814,840,940,976,954,925,1166,1305,13868
weights,0,0,0,0,7,9,15,22,25,35,43,59,35,41,55,68,120,158,204,218,282,326,350,449,497,597,623,692,714,834,903,1020,904,986,1102,1160,1307,13860
input,0,0,0,0,0,0,0,0,7,9,15,19,14,21,29,50,94,91,115,159,184,314,314,447,532,538,559,717,757,759,933,1057,1102,1157,1247,1253,1365,13858
programming,0,0,0,0,0,0,0,0,0,0,0,0,21,22,24,24,45,104,108,93,161,194,296,380,434,507,591,633,760,872,1040,1129,1207,1210,1258,1337,1388,13838
precisely,0,0,0,8,6,8,9,16,23,31,42,59,61,83,102,126,140,201,205,254,271,344,418,464,550,546,666,692,741,756,905,979,995,891,993,1087,1165,13837
ratio,0,0,0,0,0,9,0,5,0,10,11,19,13,30,42,69,132,132,221,255,261,348,443,500,614,621,680,732,786,796,889,1038,1012,1020,945,1040,1154,13827
interesting,0,0,0,12,14,20,30,28,35,57,68,93,95,116,129,173,201,260,280,317,335,487,496,569,649,651,728,712,760,752,799,884,839,838,832,845,721,13825
unitary,0,0,0,12,14,14,38,33,48,90,99,114,138,189,169,170,254,261,340,350,355,497,520,549,611,610,695,622,641,689,718,756,773,757,804,934,937,13801
much,0,0,0,7,10,10,9,19,14,36,41,51,50,73,75,108,152,146,198,238,285,368,427,508,518,658,657,742,745,824,947,1034,984,979,994,950,926,13783
transformation,0,0,0,0,15,18,40,38,40,90,73,102,103,140,179,198,207,226,287,304,350,398,483,522,659,605,648,674,693,706,780,749,772,773,875,1033,1001,13781
selection,0,0,0,0,0,0,0,0,0,9,10,11,15,21,27,47,85,146,190,263,248,325,401,480,520,627,729,656,770,809,926,945,987,1008,1097,1163,1246,13761
transport,0,0,0,0,0,0,0,0,0,26,18,13,24,25,45,68,63,69,91,146,169,250,273,320,375,467,539,582,692,764,870,1016,1142,1142,1343,1455,1753,13740
laplacian,0,0,0,0,0,7,9,9,11,28,28,37,53,81,83,109,182,148,189,196,253,306,396,470,632,597,651,733,839,848,867,986,830,968,1052,1011,1098,13707
gap,0,0,0,0,0,0,8,9,0,27,24,35,38,74,46,71,126,133,168,197,233,299,361,385,430,539,582,613,686,750,838,868,1019,1021,1095,1374,1644,13693
riemann,0,0,0,9,30,42,43,46,61,94,99,104,167,159,199,181,296,292,389,367,358,453,556,529,584,536,626,729,660,730,710,757,713,749,728,848,845,13689
sufficiently,0,0,0,0,7,9,17,8,6,29,38,55,67,65,85,100,107,146,200,234,275,333,416,444,524,612,617,703,746,782,866,890,992,911,1029,1157,1179,13649
arising,0,0,0,0,8,14,17,19,36,49,43,72,71,101,110,158,137,203,246,224,267,367,396,513,484,614,638,666,688,729,810,882,907,890,949,997,1337,13642
close,0,0,0,0,7,12,6,7,12,35,35,61,57,73,92,106,165,185,228,212,339,378,439,536,567,602,617,688,822,792,896,915,954,963,938,934,952,13625
depends,0,0,0,13,8,11,16,16,23,31,40,51,61,65,83,114,133,174,212,242,265,366,430,495,532,627,639,730,748,822,862,952,961,886,927,962,1120,13617
connections,0,0,0,6,24,40,62,76,70,82,86,121,96,160,166,184,202,258,249,287,303,370,435,449,503,546,641,612,617,658,755,865,877,840,856,915,1187,13598
coupling,0,0,0,0,9,9,11,11,17,50,46,67,72,98,71,115,158,183,166,210,242,389,404,496,517,626,558,651,693,778,810,787,968,954,991,1158,1259,13574
together,0,0,0,6,11,14,20,22,39,45,81,65,60,89,108,125,145,182,231,244,307,328,405,494,511,560,666,668,751,732,794,933,939,904,896,938,1249,13562
game,0,0,0,0,13,0,13,0,0,12,25,13,8,21,16,59,65,99,174,135,246,262,324,556,487,532,648,696,744,841,933,1021,1034,1038,1104,1253,1178,13550
loss,0,0,0,0,0,0,0,0,0,8,14,5,7,8,21,36,91,79,137,151,130,204,275,328,428,357,471,547,603,686,909,1114,1240,1270,1392,1466,1568,13545
training,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,46,36,72,55,86,60,93,152,192,228,288,581,898,1364,1581,1573,1920,2122,2173,13539
module,0,0,0,0,21,46,52,39,64,65,82,134,95,176,179,219,258,313,320,319,410,485,441,551,573,593,676,697,687,587,653,637,705,763,836,916,934,13526
frequency,0,0,0,0,0,0,0,0,8,6,15,32,29,44,54,46,88,101,159,188,244,316,387,464,552,679,790,834,904,855,817,940,913,957,986,1104,1010,13522
socalled,0,0,0,0,0,10,12,22,23,23,52,59,56,95,93,139,144,197,202,262,299,372,369,501,604,651,678,745,768,817,856,938,931,921,902,956,800,13497
extends,0,0,0,0,0,13,17,11,13,37,51,61,56,83,80,145,169,218,200,231,263,345,380,437,520,543,601,570,669,751,752,827,844,797,960,1161,1691,13496
converges,0,0,0,0,0,0,8,0,7,14,34,26,31,36,71,117,136,161,210,209,256,291,386,443,467,573,631,742,691,771,889,1022,1008,945,1016,1107,1165,13463
scattering,0,0,0,0,0,0,13,18,31,58,102,107,92,105,122,215,211,242,316,273,318,366,479,488,561,504,574,645,643,842,933,801,852,845,815,951,934,13456
log,0,0,0,0,12,12,0,0,22,39,47,62,68,107,104,154,119,198,239,286,347,364,415,466,582,614,654,616,670,687,820,895,824,862,960,1109,1019,13373
tools,0,0,0,0,0,6,0,8,12,22,21,40,38,44,51,95,140,139,185,197,194,277,361,420,439,497,577,578,699,766,853,989,979,961,1038,1252,1459,13337
aim,0,0,0,0,0,13,6,15,28,35,40,34,43,81,69,105,132,164,213,254,275,332,378,443,474,562,651,653,797,794,789,958,966,962,1015,1096,956,13333
derivative,0,0,0,0,6,15,10,17,17,50,37,37,56,72,98,75,129,164,238,187,241,362,440,430,498,556,600,667,776,864,825,974,941,846,921,960,1220,13329
correspondence,0,0,0,0,8,24,34,39,42,60,87,84,118,139,185,185,181,277,242,312,312,350,421,474,520,574,578,664,631,648,734,784,814,870,921,962,1040,13314
address,0,0,0,0,0,7,0,5,7,13,9,22,23,21,28,39,59,59,104,99,123,164,223,274,302,374,447,437,499,611,674,837,920,958,1436,2039,2492,13305
link,0,0,0,0,28,27,24,19,25,57,64,69,98,95,121,177,199,277,273,340,364,427,499,589,529,554,629,703,764,763,773,848,766,713,797,799,886,13296
particles,0,0,0,0,0,0,12,9,28,52,62,82,111,114,96,172,209,229,287,296,388,502,535,562,534,597,624,702,641,630,726,789,814,788,881,951,851,13274
less,0,0,0,7,9,11,17,19,21,30,40,55,53,73,106,107,155,149,215,249,292,374,417,466,533,547,673,667,683,765,793,901,874,927,1073,1023,946,13270
yields,0,0,0,0,10,15,19,18,29,41,67,62,74,89,119,113,180,166,219,223,274,332,354,489,476,509,550,651,670,695,764,811,822,806,876,974,1738,13235
current,0,0,0,0,0,11,11,49,25,47,35,48,50,50,78,99,127,154,159,172,197,300,354,470,493,583,594,650,666,715,831,916,950,991,1086,1144,1161,13216
twisted,0,0,0,0,14,28,38,60,58,78,91,74,171,149,174,230,240,289,395,337,339,470,464,492,446,635,641,586,648,595,600,726,660,744,816,886,1002,13176
potentials,0,0,0,0,0,15,11,15,27,80,97,107,120,149,130,195,222,224,269,297,419,442,491,599,582,602,605,518,703,724,694,857,732,760,728,855,900,13169
coefficient,0,0,0,0,0,15,16,0,6,17,26,27,39,55,91,101,119,146,203,201,244,344,397,513,519,542,606,617,666,723,828,941,882,917,978,1157,1229,13165
uses,0,0,0,0,10,11,15,15,25,40,47,59,57,62,107,96,148,179,199,224,279,346,390,442,519,609,636,648,691,708,786,909,974,929,984,962,1043,13149
contact,0,0,0,0,0,13,11,0,32,48,81,106,136,78,139,276,206,238,255,269,411,471,365,515,512,547,577,580,613,669,713,849,814,883,869,843,1008,13127
modeling,0,0,0,0,0,0,0,0,0,0,11,10,7,8,26,31,47,55,99,120,119,202,270,336,357,382,468,582,564,596,739,971,1100,1109,1261,1531,2114,13115
feedback,0,0,0,0,0,0,0,0,0,0,9,23,10,14,11,25,75,162,237,250,401,402,491,386,593,518,651,562,750,636,790,919,885,1079,1058,969,1206,13112
uncertainty,0,0,0,0,0,0,0,0,0,7,9,14,17,27,28,36,47,94,77,125,89,177,187,266,342,401,504,499,600,752,872,1106,1129,1206,1230,1407,1863,13111
call,0,0,0,0,8,19,17,27,25,36,55,56,64,81,115,143,170,201,212,269,289,334,417,464,549,564,582,622,726,707,806,899,910,906,938,972,918,13101
hopf,0,0,0,6,36,81,77,133,124,180,186,232,302,235,277,389,300,326,350,372,463,483,338,507,474,645,594,554,558,552,609,621,434,555,659,710,735,13097
finding,0,0,0,0,7,10,16,10,11,30,42,51,39,51,71,106,142,175,182,191,242,307,372,451,521,563,630,657,710,741,833,918,1003,941,1034,1077,953,13087
perfect,0,0,0,0,0,11,12,13,18,34,37,42,48,46,72,100,154,165,231,253,374,441,480,410,551,579,587,670,704,692,841,963,895,860,880,901,1023,13087
commutative,0,0,0,7,10,24,28,50,40,40,64,97,103,133,149,209,244,285,350,312,372,359,422,466,622,592,607,700,676,663,655,761,719,790,793,832,908,13082
onedimensional,0,0,14,7,5,8,8,14,25,40,73,85,79,108,125,138,194,231,254,280,311,393,410,498,605,548,653,651,674,697,748,788,787,778,764,943,1146,13082
identify,0,0,0,0,0,7,9,11,20,24,24,33,41,48,68,87,93,112,135,163,184,259,330,381,398,461,577,539,638,679,831,947,992,1003,1112,1319,1550,13075
like,0,0,0,5,16,15,12,23,26,49,67,79,75,89,105,123,185,207,203,270,304,365,404,445,535,604,613,644,647,706,701,757,831,817,918,1123,1104,13067
true,0,0,0,8,6,8,8,17,26,29,34,44,65,63,113,146,153,195,227,223,308,320,399,479,511,570,630,645,742,701,822,867,891,893,902,959,1039,13043
lipschitz,0,0,0,0,0,0,0,0,12,14,28,19,10,53,20,71,69,125,148,158,225,284,284,392,458,514,562,614,690,795,816,1023,958,994,1125,1245,1313,13019
significant,0,0,0,0,0,0,0,0,0,8,9,13,12,22,23,38,48,70,117,107,150,181,228,285,338,403,529,547,606,617,735,849,931,981,1236,1818,2078,12979
available,0,0,0,6,0,12,10,0,9,11,11,9,23,32,28,46,105,110,144,181,219,282,315,387,491,535,623,696,667,740,897,1091,1045,1009,1087,1100,1049,12970
derivatives,0,0,0,0,10,16,5,20,27,34,34,48,79,84,109,95,126,164,254,227,287,318,427,530,580,558,589,645,666,765,765,873,875,833,882,1031,1008,12964
interaction,0,0,0,0,5,7,0,13,13,37,63,58,63,78,102,105,130,168,217,221,287,342,390,412,468,495,580,617,654,726,846,890,841,894,927,1143,1172,12964
alternative,0,0,0,0,0,7,9,10,23,13,20,36,58,55,72,100,126,158,166,218,271,307,405,439,523,508,618,607,663,714,758,885,832,903,989,1060,1386,12939
graded,0,0,0,16,9,31,33,41,42,59,77,93,132,178,144,217,267,318,297,265,400,396,440,493,548,548,592,612,714,625,648,693,792,732,755,855,864,12926
principal,0,0,0,9,17,33,35,32,43,57,70,65,92,122,137,167,163,256,268,306,291,425,424,561,557,571,580,599,701,700,707,801,844,672,837,896,869,12907
make,0,0,0,0,0,7,8,15,20,34,31,41,67,68,72,119,139,146,224,226,239,314,370,458,521,527,619,613,721,703,867,962,947,1010,1003,935,879,12905
identity,0,0,0,0,25,22,28,44,54,73,74,93,98,89,119,197,174,193,295,273,331,399,458,539,483,534,519,607,653,799,744,817,788,747,775,827,996,12867
deterministic,0,0,0,0,0,0,0,0,0,9,11,19,19,28,37,69,80,124,145,184,259,330,439,448,495,540,651,590,751,728,825,983,952,920,965,1075,1190,12866
paths,0,0,0,0,0,8,0,16,22,25,23,66,53,58,94,131,203,183,271,275,257,291,362,489,529,478,571,630,665,715,775,873,870,984,865,1020,1063,12865
embedding,0,0,0,7,13,12,23,27,40,43,46,68,77,82,100,125,151,183,226,232,284,363,374,466,480,503,558,577,636,700,792,926,804,813,996,995,1127,12849
decoding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,171,215,329,314,318,491,555,552,573,659,604,540,764,635,849,863,879,765,734,948,1024,12820
good,0,0,0,7,6,7,10,11,22,38,34,40,58,66,81,132,149,188,225,252,295,313,342,484,561,567,627,706,772,722,824,920,901,941,883,890,740,12814
comparison,0,0,0,0,0,5,0,0,15,25,19,25,32,36,58,65,97,139,199,180,230,364,396,401,547,486,610,687,749,759,838,922,899,906,963,1021,1138,12811
ones,0,0,0,0,16,19,28,32,44,41,54,81,79,88,115,128,157,198,220,227,278,336,426,453,531,561,531,620,671,753,738,885,916,918,897,921,844,12806
required,0,0,0,0,0,6,6,5,15,11,19,20,24,23,36,64,73,117,152,148,204,308,321,456,511,515,670,675,785,779,844,930,951,919,1003,1042,1141,12773
weakly,0,0,0,18,0,14,16,23,17,24,51,42,63,65,74,118,160,149,195,205,260,329,444,451,507,612,660,656,657,720,804,895,848,871,882,958,979,12767
sobolev,0,0,0,0,0,0,0,0,0,0,8,18,31,33,40,71,109,130,192,207,220,291,323,393,537,484,635,607,635,812,832,922,914,893,1043,1188,1192,12760
transformations,0,0,0,8,23,18,51,46,67,89,103,154,119,161,211,228,243,274,325,319,345,319,511,518,614,553,610,635,621,571,666,649,716,637,739,746,862,12751
significantly,0,0,0,0,0,0,0,0,0,0,6,7,5,12,14,29,37,59,73,87,129,154,243,251,359,383,473,551,590,691,762,1002,1056,1064,1184,1560,1967,12748
deformation,0,0,0,0,34,73,95,114,119,153,149,184,206,223,219,273,289,286,317,329,303,381,425,488,455,535,479,577,543,554,559,672,676,679,744,760,848,12741
elementary,0,0,0,12,8,28,23,42,53,75,85,112,105,134,141,177,232,232,324,302,347,408,450,534,588,623,632,620,655,630,650,776,674,709,761,773,807,12722
